ts	phase	decision	why	evidence	result
2026-09-08T20:37:23Z	design	Use a deterministic fixed-point for generated imports	Attached import macros require expansion and graph discovery to converge without dropping imports	docs/adr/0003-compile-time-metaprogramming.md	documented
2026-09-08T20:37:23Z	syntax	Represent token literals as flat token pieces with temporary interpolation boundaries	Ordinary token content must stay unparsed while interpolation expressions need AST nodes	crates/nymph-ast/src/expr.rs; crates/nymph-syntax/tests/parser.rs	syntax tests green
2026-09-08T21:00:07Z	implementation	Expand declarations before semantic and graph consumers	Generated declarations and imports must enter the normal compiler pipeline	cargo test -p nymph-compiler --test project; cargo check --workspace --all-targets	55 project tests green; workspace check green
2026-09-08T21:08:19Z	evaluation	Reset deterministic budgets per root and eagerly validate const lets	The language requires every const let to evaluate even when unused, without unrelated roots consuming its budget	project tests for unused division by zero, separators, stacking; Node runtime const test	targeted tests green
2026-09-08T21:11:47Z	safety	Use a 64-frame deterministic const call limit	A 256-frame recursive const call overflowed the compiler test thread before a diagnostic could be emitted	const_call_depth_limit_reports_an_expansion_trace	compiler reports META001 with trace instead of aborting
2026-09-08T21:15:14Z	blocker	Need a concrete std/meta representation and hygiene storage boundary	The settled behavior names construct types but does not define their fields/variants, while current Ident, Span, and NodeId cannot carry hygiene or expansion provenance	nymph-ast/src/lib.rs; stdlib/src/meta.nym; crates/nymph-compiler/src/metaprogramming.rs	request decision: public mirrored values vs opaque handles, and enriched AST values vs compiler side tables
2026-09-08T21:24:46Z	identity	Carry syntax context and expansion origin in Span, and origin in NodeId	Tokens, identifiers, spans, and nodes must preserve hygiene/provenance through reparsing without authoritative side tables	metaprogramming unit tests; syntax tests; project tests; workspace check	contexts and deterministic origin IDs survive expansion and reparsing
2026-09-08T21:28:40Z	diagnostics	Resolve expansion traces from syntax-carried OriginId	Parser and semantic failures in generated output must report both invocation and definition spans	generated parse and type diagnostic project tests	both diagnostics include provenance notes
2026-09-08T21:52:00Z	meta schema	Adapt declarations to public immutable records and a flat Declaration enum	Macros need ordinary pattern matching and field access without exposing the Rust AST as an ABI	broad and narrow attached-macro project tests; stdlib source check	declarations can be matched, inspected, rebuilt, and converted to tokens
2026-09-08T22:03:00Z	macro errors	Accept Result success and structured diagnostic failures	Attached macros need recoverable user-facing errors anchored to typed syntax spans	result success and diagnostic span project tests	Result tokens expand; returned diagnostics keep the supplied span
2026-09-08T22:12:00Z	meta declarations	Expose optional and declaration-specific fields for all top-level declaration categories	Narrow attached targets must cover aliases and externals as well as core declarations	68 project tests; stdlib source check; compiler clippy	alias/external target typing and immutable field adapters are green
2026-09-08T22:36:00Z	const imports	Expand each reachable const-import closure to a deterministic generated-import fixed point	Imported macros need definition-scope helpers and generated imports must join graph discovery without invalidating unrelated modules	70 project tests; 8 incremental baseline tests; compiler clippy	private helpers resolve in their owner; generated import chains load; unrelated modules stay backdated
2026-09-08T23:05:00Z	hygiene	Key semantic and stable identities by syntax context instead of changing identifier text	Definition-site and fresh names must coexist with caller names while exposed names bind at the call site	72 project tests including Node execution; 102 sema tests; 8 incremental tests	definition-context helpers do not capture caller names; fresh names remain textually unchanged
2026-09-08T23:05:00Z	diagnostic lists	Preserve every diagnostic returned by a macro or generated parser	A diagnostic-list Result must not silently discard all but its first item	attached_macro_reports_every_returned_diagnostic	both returned diagnostics reach the project result in order
2026-09-08T23:31:00Z	grammar destinations	Expand source tokens before contextual parsing while skipping token-literal bodies	One token prepass supports expression, type, pattern, statement, parameter, field, variant, and match-arm positions without placeholder AST variants	nested-destination Node test; generated-fragment test; 75 project tests; syntax tests	all nested destinations expand through the normal parser and runtime pipeline
2026-09-08T23:31:00Z	meta adapters	Add validated meta parse entry points and Function record serialization	Language-facing records must parse and rebuild syntax without exposing the Rust AST	typed_meta_functions_are_constructible_and_convert_back_to_tokens	constructed Function with parsed replacement body emits and runs
2026-09-08T23:58:00Z	meta identity schema	Expose constructible flat Token values and full syntax context in Span	Public meta values must preserve syntax-carried hygiene and provenance through ordinary construction and conversion	public_meta_tokens_and_flat_token_variants_are_constructible; public_meta_span_constructor_preserves_context_and_origin	flat tokens emit runnable declarations; Span round-trips fresh context and origin
2026-09-09T00:19:00Z	meta construction	Serialize public declaration and leaf records without dropping nested member tokens	Constructed immutable records and Declaration variants must re-enter parsing while retaining attached target contents	public_struct_and_declaration_records_rebuild_nested_members; 78 project tests	constructed Struct wrapped in Declaration preserves and runs its namespace member
2026-09-09T00:43:00Z	const evaluation	Interpret finite ranges, maps/indexing, closures, user ADTs, for loops, and state loops	Const functions are pure Nymph computations rather than token-template-only helpers	const_evaluation_supports_finite_collections_ranges_and_state_loops; 79 project tests; compiler clippy	mixed pure computation produces and runs the expected generated value under deterministic budgets
2026-09-09T01:08:00Z	phase-safe meta declarations	Represent import roots and external declaration kinds explicitly in the public schema	Typed conversion must faithfully preserve graph-affecting import roots and distinguish external signatures	typed_import_records_rebuild_before_graph_discovery; external_declarations_expose_typed_function_and_let_variants	project-root import reconstruction joins graph discovery; external variants pattern-match before execution
2026-09-09T01:29:00Z	phase separation	Resolve aliased std/meta type names before deciding runtime capability	Compile-time-only values must not leak merely because std/meta was imported under another namespace or with-name	aliased_meta_values_remain_compile_time_only; runtime_declarations_cannot_expose_aliased_meta_values	const meta declarations are erased and non-const meta signatures receive a diagnostic under aliases
2026-09-09T01:43:00Z	formatting	Preserve lexically valid contextual source insertions when no expansion environment is available	The standalone formatter cannot evaluate project-dependent const code and must not corrupt or reject valid pre-expansion source	cargo test -p nymph-format; preserves_unexpanded_insertions_at_contextual_grammar_destinations	whole-document and range formatting leave unresolved contextual insertions byte-stable
2026-09-09T01:55:00Z	editor tooling	Scope const and all three metaprogramming sigils before anonymous-dollar fallback	TextMate must remain useful when semantic AST roles are unavailable during an incomplete or unexpanded edit	pnpm --filter nymph test:unit	23 extension unit tests pass; token capture, expansion, and attachment sigils have distinct scopes
2026-09-09T02:03:00Z	browser pipeline	Exercise const expansion through the WASM compiler facade	The playground must use the same expansion pipeline rather than a syntax-only path	cargo test -p nymph-wasm	generated function appears in browser-target JavaScript with no diagnostics
2026-09-09T00:43:49Z	stable runtime identity	Assign compile-time-only std/meta after existing importable and ambient module slots	Adding meta must not renumber pre-existing emitted runtime bindings	cargo test -p nymph-compiler --features test-support --test stable_module_assembly stable_	all 16 stable assembly checks preserve their existing names and run
2026-09-09T00:43:49Z	incremental parse accounting	Treat the raw source parse as the canonical tracked parse and track expanded imports separately	Expansion needs a second representation without reporting one source revision as two parse invalidations	session lifecycle and both LSP cache-count regression tests	changed roots and newly reachable modules reparse exactly once while unchanged analyses remain shared
2026-09-09T03:10:00Z	conversion	Use one compiler adapter for typed syntax, user Into implementations, and iterable flattening	Expansion and interpolation should accept the language protocol rather than concrete evaluator containers	project tests for typed destinations, custom Into, custom Iterable/Iterator, Result and separators	typed and user-defined values flatten deterministically while preserving token identity
2026-09-09T03:10:00Z	attachment composition	Represent intermediate attached output as one declaration or an ordered declaration collection	Multi-output inner macros must remain composable without weakening narrow target checks	multi-output stacked attachment and narrow mismatch tests	collection targets receive all declarations; narrow targets get labeled actionable diagnostics
2026-09-09T03:10:00Z	pretty meta diagnostics	Attach help, const-call labels, and provenance labels before diagnostics reach CLI/LSP/WASM	Plain evaluator strings do not explain how to correct macro failures or where generated syntax originated	pretty render, generated parse/type, limit, conversion, and attachment tests	all META001 paths use standard structured diagnostics and generated errors retain expansion labels
2026-09-09T09:00:00Z	additive attachments	Retain the handwritten target once and evaluate every attachment independently against that same typed original	Attachments generate peer declarations; replacement and removal belong to direct expansion	independent attachment identity, order, zero/many, isolation, failure, mismatch, and collision tests	no collection handoff or sibling transformation pipeline remains
